		qv_raob_rms,RADIOSONDE: Specific humidity,(g/kg)
		u_raob_rms,RADIOSONDE: Zonal wind,(m/s)
		v_raob_rms,RADIOSONDE: Meridional wind,(m/s)
		ps_raob_rms,RADIOSONDE: Surface pressure,(hPa)
		tv_acraft_rms,AIRCRAFT: Virtual temperature,(K)
		qv_acraft_rms,AIRCRAFT: Specific humidity,(g/kg)
		u_acraft_rms,AIRCRAFT: Zonal wind,(m/s)
		v_acraft_rms,AIRCRAFT: Meridional wind,(m/s)
		u_prof_rms,PROFILER: Zonal wind,(m/s)
		v_prof_rms,PROFILER: Meridional wind,(m/s)
		u_scat_rms,SCATTEROMETER: Zonal wind,(m/s)
		v_scat_rms,SCATTEROMETER: Meridional wind,(m/s)
		w_ssmi_rms,SSMI: Wind speed,(m/s)
		u_amv_rms,ATMOS MOTION VECTORS: Zonal wind,(m/s)
		v_amv_rms,ATMOS MOTION VECTORS: Meridional wind,(m/s)
		sst_sea_rms,SEA SURFACE: Sea surface temperature,(K)
		tv_sea_rms,SEA SURFACE: Virtual temperature,(K)
		ps_sea_rms,SEA SURFACE: Surface pressure,(hPA)
		u_sea_rms,SEA SURFACE: Zonal wind,(m/s)
		v_sea_rms,SEA SURFACE: Meridional wind,(m/s)
		qv_sea_rms,SEA SURFACE: Specific humidity,(g/kg)
		ps_land_rms,LAND SURFACE: Surface pressure,(hPA)
		ps_paob_rms,PAOB SURFACE: Synthetic surface pressure,(hPA)
		tv_drift_rms,Drifting Buoy: Virtual Temperature,(K)
		tv_mls_rms,MLS:           Virtual Temperature,(K)
		u_drift_rms,Drifting Buoy: Zonal wind,(m/s)
		v_drift_rms,Drifting Buoy: Meridional wind,(m/s)
		ps_drift_rms,Drifting Buoy: Surface Pressure,(hPa)
		bang_gps_rms,GPSRO Bending Angle,(degree)
		tv_raob_rms_omf,RADIOSONDE: Virtual temperature,(K)
		qv_raob_rms_omf,RADIOSONDE: Specific humidity,(g/kg)
		u_raob_rms_omf,RADIOSONDE: Zonal wind,(m/s)
		v_raob_rms_omf,RADIOSONDE: Meridional wind,(m/s)
		ps_raob_rms_omf,RADIOSONDE: Surface pressure,(hPa)
		tv_acraft_rms_omf,AIRCRAFT: Virtual temperature,(K)
		qv_acraft_rms_omf,AIRCRAFT: Specific humidity,(g/kg)
		u_acraft_rms_omf,AIRCRAFT: Zonal wind,(m/s)
		v_acraft_rms_omf,AIRCRAFT: Meridional wind,(m/s)
		u_prof_rms_omf,PROFILER: Zonal wind,(m/s)
		v_prof_rms_omf,PROFILER: Meridional wind,(m/s)
		u_scat_rms_omf,SCATTEROMETER: Zonal wind,(m/s)
		v_scat_rms_omf,SCATTEROMETER: Meridional wind,(m/s)
		w_ssmi_rms_omf,SSMI: Wind speed,(m/s)
		u_amv_rms_omf,ATMOS MOTION VECTORS: Zonal wind,(m/s)
		v_amv_rms_omf,ATMOS MOTION VECTORS: Meridional wind,(m/s)
		sst_sea_rms_omf,SEA SURFACE: Sea surface temperature,(K)
		tv_sea_rms_omf,SEA SURFACE: Virtual temperature,(K)
		ps_sea_rms_omf,SEA SURFACE: Surface pressure,(hPA)
		u_sea_rms_omf,SEA SURFACE: Zonal wind,(m/s)
		v_sea_rms_omf,SEA SURFACE: Meridional wind,(m/s)
		qv_sea_rms_omf,SEA SURFACE: Specific humidity,(g/kg)
		ps_land_rms_omf,LAND SURFACE: Surface pressure,(hPA)
		ps_paob_rms_omf,PAOB SURFACE: Synthetic surface pressure,(hPA)
		tv_drift_rms_omf,Drifting Buoy: Virtual Temperature,(K)
		tv_mls_rms_omf,MLS:           Virtual Temperature,(K)
		u_drift_rms_omf,Drifting Buoy: Zonal wind,(m/s)
		v_drift_rms_omf,Drifting Buoy: Meridional wind,(m/s)
		ps_drift_rms_omf,Drifting Buoy: Surface Pressure,(hPa)
		bang_gps_rms_omf,GPSRO Bending Angle,(degree)
		tv_raob_rms_oma,RADIOSONDE: Virtual temperature,(K)
		qv_raob_rms_oma,RADIOSONDE: Specific humidity,(g/kg)
		u_raob_rms_oma,RADIOSONDE: Zonal wind,(m/s)
		v_raob_rms_oma,RADIOSONDE: Meridional wind,(m/s)
		ps_raob_rms_oma,RADIOSONDE: Surface pressure,(hPa)
		tv_acraft_rms_oma,AIRCRAFT: Virtual temperature,(K)
		qv_acraft_rms_oma,AIRCRAFT: Specific humidity,(g/kg)
		u_acraft_rms_oma,AIRCRAFT: Zonal wind,(m/s)
		v_acraft_rms_oma,AIRCRAFT: Meridional wind,(m/s)
		u_prof_rms_oma,PROFILER: Zonal wind,(m/s)
		v_prof_rms_oma,PROFILER: Meridional wind,(m/s)
		u_scat_rms_oma,SCATTEROMETER: Zonal wind,(m/s)
		v_scat_rms_oma,SCATTEROMETER: Meridional wind,(m/s)
		w_ssmi_rms_oma,SSMI: Wind speed,(m/s)
		u_amv_rms_oma,ATMOS MOTION VECTORS: Zonal wind,(m/s)
		v_amv_rms_oma,ATMOS MOTION VECTORS: Meridional wind,(m/s)
		sst_sea_rms_oma,SEA SURFACE: Sea surface temperature,(K)
		tv_sea_rms_oma,SEA SURFACE: Virtual temperature,(K)
		ps_sea_rms_oma,SEA SURFACE: Surface pressure,(hPA)
		u_sea_rms_oma,SEA SURFACE: Zonal wind,(m/s)
		v_sea_rms_oma,SEA SURFACE: Meridional wind,(m/s)
		qv_sea_rms_oma,SEA SURFACE: Specific humidity,(g/kg)
		ps_land_rms_oma,LAND SURFACE: Surface pressure,(hPA)
		ps_paob_rms_oma,PAOB SURFACE: Synthetic surface pressure,(hPA)
		tv_drift_rms_oma,Drifting Buoy: Virtual Temperature,(K)
		tv_mls_rms_oma,MLS:           Virtual Temperature,(K)
		u_drift_rms_oma,Drifting Buoy: Zonal wind,(m/s)
		v_drift_rms_oma,Drifting Buoy: Meridional wind,(m/s)
		ps_drift_rms_oma,Drifting Buoy: Surface Pressure,(hPa)
		bang_gps_rms_oma,GPSRO Bending Angle,(degree)
		tv_raob_stdv:,RADIOSONDE: Virtual temperature,(K) 
		qv_raob_stdv:,RADIOSONDE: Specific humidity,(g/kg) 
		u_raob_stdv:,RADIOSONDE: Zonal wind ,(m/s) 
		v_raob_stdv:,RADIOSONDE: Meridional wind, (m/s) 
		ps_raob_stdv:,RADIOSONDE: Surface pressure,(hPa) 
		tv_acraft_stdv:,AIRCRAFT: Virtual temperature,(K) 
		qv_acraft_stdv:,AIRCRAFT: Specific humidity,(g/kg) 
		u_acraft_stdv:,AIRCRAFT: Zonal wind,(m/s) 
		v_acraft_stdv:,AIRCRAFT: Meridional wind,(m/s) 
		u_prof_stdv:,PROFILER: Zonal wind,(m/s) 
		v_prof_stdv:,PROFILER: Meridional wind,(m/s) 
		u_scat_stdv:,SCATTEROMETER: Zonal wind,(m/s) 
		v_scat_stdv:,SCATTEROMETER: Meridional wind,(m/s) 
		w_ssmi_stdv:,SSMI: Wind speed,([m/s) 
		u_amv_stdv:,ATMOS MOTION VECTORS: Zonal wind,(m/s) 
		v_amv_stdv:,ATMOS MOTION VECTORS: Meridional wind,(m/s) 
		sst_sea_stdv:,SEA SURFACE: Sea surface temperature,(K)
		tv_sea_stdv:,SEA SURFACE: Virtual temperature,(K) 
		ps_sea_stdv:,SEA SURFACE: Surface pressure,(hPA) 
		u_sea_stdv:,SEA SURFACE: Zonal wind,(m/s) 
		v_sea_stdv:,SEA SURFACE: Meridional wind,(m/s) 
		qv_sea_stdv:,SEA SURFACE: Specific humidity,(g/kg) 
		ps_land_stdv:,LAND SURFACE: Surface pressure,(hPA) 
		ps_paob_stdv:,PAOB SURFACE: Synthetic surface pressure,(hPA) 
		tv_drift_stdv:,Drifting Buoy: Virtual Temperature,(K) 
		tv_mls_stdv:,MLS:           Virtual Temperature,(K) 
		u_drift_stdv:,Drifting Buoy: Zonal wind,(m/s) 
		v_drift_stdv:,Drifting Buoy: Meridional wind,(m/s) 
		ps_drift_stdv:,Drifting Buoy: Surface Pressure, (hPa) 
		bang_gps_stdv:,GPSRO Bending Angle 
		tv_raob_stdv_omf:,RADIOSONDE: Virtual temperature,(K) 
		qv_raob_stdv_omf:,RADIOSONDE: Specific humidity,(g/kg) 
		u_raob_stdv_omf:,RADIOSONDE: Zonal wind, (m/s) 
		v_raob_stdv_omf:,RADIOSONDE: Meridional wind ,(m/s) 
		ps_raob_stdv_omf:,RADIOSONDE: Surface pressure,(hPa) 
		tv_acraft_stdv_omf:,AIRCRAFT: Virtual temperature,(K) 
		qv_acraft_stdv_omf:,AIRCRAFT: Specific humidity,(g/kg) 
		u_acraft_stdv_omf:,AIRCRAFT: Zonal wind,(m/s) 
		v_acraft_stdv_omf:,AIRCRAFT: Meridional wind,(m/s) 
		u_prof_stdv_omf:,PROFILER: Zonal wind,(m/s) 
		v_prof_stdv_omf:,PROFILER: Meridional wind,(m/s) 
		u_scat_stdv_omf:,SCATTEROMETER: Zonal wind,(m/s) 
		v_scat_stdv_omf:,SCATTEROMETER: Meridional wind,(m/s) 
		w_ssmi_stdv_omf:,SSMI: Wind speed,(m/s) 
		u_amv_stdv_omf:,ATMOS MOTION VECTORS: Zonal wind,(m/s) 
		v_amv_stdv_omf:,ATMOS MOTION VECTORS: Meridional wind,(m/s) 
		sst_sea_stdv_omf:,SEA SURFACE: Sea surface temperature,(K) 
		tv_sea_stdv_omf:,SEA SURFACE: Virtual temperature,(K) 
		ps_sea_stdv_omf:,SEA SURFACE: Surface pressure,(hPA) 
		u_sea_stdv_omf:,SEA SURFACE: Zonal wind,(m/s) 
		v_sea_stdv_omf:,SEA SURFACE: Meridional wind,(m/s)
		qv_sea_stdv_omf:,SEA SURFACE: Specific humidity,(g/k) 
		ps_land_stdv_omf:,LAND SURFACE: Surface pressure,(hPA) 
		ps_paob_stdv_omf:,PAOB SURFACE: Synthetic surface pressure,(hPA) 
		tv_drift_stdv_omf:,Drifting Buoy: Virtual Temperature,(K) 
		tv_mls_stdv_omf:,MLS:           Virtual Temperature,(K) 
		u_drift_stdv_omf:,Drifting Buoy: Zonal wind,(m/s) 
		v_drift_stdv_omf:,Drifting Buoy: Meridional wind,(m/s) 
