hirs4_n19,MERRA-2 Hourly Monthly Gridded Innovations and Observation HIRS4_N19,M2_HOURLY_HIRS4_N19,10.5067/MEASURES/MERRA2_HOURLY_HIRS4_N19
iasi_metop-a,MERRA-2 Hourly Monthly Gridded Innovations and Observation IASI_METOP-A,M2_HOURLY_IASI_METOP-A,10.5067/MEASURES/MERRA2_HOURLY_IASI_METOP-A
iasi_metop-b,MERRA-2 Hourly Monthly Gridded Innovations and Observation IASI_METOP-B,M2_HOURLY_IASI_METOP-B,10.5067/MEASURES/MERRA2_HOURLY_IASI_METOP-B
mhs_metop-a,MERRA-2 Hourly Monthly Gridded Innovations and Observation MHS_METOP-A,M2_HOURLY_MHS_METOP-A,10.5067/MEASURES/MERRA2_HOURLY_MHS_METOP-A
mhs_metop-b,MERRA-2 Hourly Monthly Gridded Innovations and Observation MHS_METOP-B,M2_HOURLY_MHS_METOP-B,10.5067/MEASURES/MERRA2_HOURLY_MHS_METOP-B
mhs_n18,MERRA-2 Hourly Monthly Gridded Innovations and Observation MHS_N18,M2_HOURLY_MHS_N18,10.5067/MEASURES/MERRA2_HOURLY_MHS_N18
mhs_n19,MERRA-2 Hourly Monthly Gridded Innovations and Observation MHS_N19,M2_HOURLY_MHS_N19,10.5067/MEASURES/MERRA2_HOURLY_MHS_N19
msu_n06,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N06,M2_HOURLY_MSU_N06,10.5067/MEASURES/MERRA2_HOURLY_MSU_N06
msu_n07,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N07,M2_HOURLY_MSU_N07,10.5067/MEASURES/MERRA2_HOURLY_MSU_N07
msu_n08,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N08,M2_HOURLY_MSU_N08,10.5067/MEASURES/MERRA2_HOURLY_MSU_N08
msu_n09,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N09,M2_HOURLY_MSU_N09,10.5067/MEASURES/MERRA2_HOURLY_MSU_N09
msu_n10,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N10,M2_HOURLY_MSU_N10,10.5067/MEASURES/MERRA2_HOURLY_MSU_N10
msu_n11,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N11,M2_HOURLY_MSU_N11,10.5067/MEASURES/MERRA2_HOURLY_MSU_N11
msu_n12,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N12,M2_HOURLY_MSU_N12,10.5067/MEASURES/MERRA2_HOURLY_MSU_N12
msu_n14,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_N14,M2_HOURLY_MSU_N14,10.5067/MEASURES/MERRA2_HOURLY_MSU_N14
msu_tirosn,MERRA-2 Hourly Monthly Gridded Innovations and Observation MSU_TIROSN,M2_HOURLY_MSU_TIROSN,10.5067/MEASURES/MERRA2_HOURLY_MSU_TIROSN
seviri_m08,MERRA-2 Hourly Monthly Gridded Innovations and Observation SEVIRI_M08,M2_HOURLY_SEVIRI_M08,10.5067/MEASURES/MERRA2_HOURLY_SEVIRI_M08
seviri_m09,MERRA-2 Hourly Monthly Gridded Innovations and Observation SEVIRI_M09,M2_HOURLY_SEVIRI_M09,10.5067/MEASURES/MERRA2_HOURLY_SEVIRI_M09
seviri_m10,MERRA-2 Hourly Monthly Gridded Innovations and Observation SEVIRI_M10,M2_HOURLY_SEVIRI_M10,10.5067/MEASURES/MERRA2_HOURLY_SEVIRI_M10
sndrd1_g11,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD1_G11,M2_HOURLY_SNDRD1_G11,10.5067/MEASURES/MERRA2_HOURLY_SNDRD1_G11
sndrd1_g12,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD1_G12,M2_HOURLY_SNDRD1_G12,10.5067/MEASURES/MERRA2_HOURLY_SNDRD1_G12
sndrd1_g13,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD1_G13,M2_HOURLY_SNDRD1_G13,10.5067/MEASURES/MERRA2_HOURLY_SNDRD1_G13
sndrd1_g14,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD1_G14,M2_HOURLY_SNDRD1_G14,10.5067/MEASURES/MERRA2_HOURLY_SNDRD1_G14
sndrd1_g15,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD1_G15,M2_HOURLY_SNDRD1_G15,10.5067/MEASURES/MERRA2_HOURLY_SNDRD1_G15
sndrd2_g11,MERRA-2 Hourly Monthly Gridded Innovations and Observation SNDRD2_G11,M2_HOURLY_SNDRD2_G11,10.5067/MEASURES/MERRA2_HOURLY_SNDRD2_G11
