ps_land_rms , 601.0 , 1030.0
ps_paob_rms , 950.0 , 1045.0
tv_drift_rms , 235.0 , 304.0
tv_mls_rms ,1.e+15, 1.e+15
u_drift_rms , 0.0 , 17.0
v_drift_rms , 0.0 , 15.0
ps_drift_rms , 963.0 , 1042.0
bang_gps_rms ,1.e+15, 1.e+15
tv_raob_rms_omf , 0.0 , 9.0
qv_raob_rms_omf , 0.0 , 12.0
u_raob_rms_omf , 0.0 , 17.0
v_raob_rms_omf , 0.0 , 18.0
ps_raob_rms_omf , 0.0 , 4.0
tv_acraft_rms_omf , 0.0 , 7.0
qv_acraft_rms_omf ,1.e+15, 1.e+15
u_acraft_rms_omf , 0.0 , 17.0
v_acraft_rms_omf , 0.0 , 17.0
u_prof_rms_omf , 0.0 , 13.0
v_prof_rms_omf , 0.0 , 12.0
u_scat_rms_omf , 0.0 , 15.0
v_scat_rms_omf , 0.0 , 13.0
w_ssmi_rms_omf , 0.0 , 16.0
u_amv_rms_omf , 0.0 , 17.0
v_amv_rms_omf , 0.0 , 17.0
sst_sea_rms_omf ,1.e+15, 1.e+15
tv_sea_rms_omf , 0.0 , 10.0
ps_sea_rms_omf , 0.0 , 6.0
u_sea_rms_omf , 0.0 , 11.0
v_sea_rms_omf , 0.0 , 11.0
qv_sea_rms_omf , 0.0 , 15.0
ps_land_rms_omf , 0.0 , 7.0
ps_paob_rms_omf , 0.0 , 7.0
tv_drift_rms_omf , 0.0 , 9.0
tv_mls_rms_omf ,1.e+15, 1.e+15
u_drift_rms_omf , 0.0 , 11.0
v_drift_rms_omf , 0.0 , 9.0
ps_drift_rms_omf , 0.0 , 6.0
bang_gps_rms_omf ,1.e+15, 1.e+15
tv_raob_rms_oma , 0.0 , 8.0
qv_raob_rms_oma , 0.0 , 11.0
u_raob_rms_oma , 0.0 , 14.0
v_raob_rms_oma , 0.0 , 14.0
ps_raob_rms_oma , 0.0 , 4.0
tv_acraft_rms_oma , 0.0 , 6.0
qv_acraft_rms_oma ,1.e+15, 1.e+15
u_acraft_rms_oma , 0.0 , 17.0
v_acraft_rms_oma , 0.0 , 16.0
u_prof_rms_oma , 0.0 , 12.0
v_prof_rms_oma , 0.0 , 14.0
u_scat_rms_oma , 0.0 , 12.0
v_scat_rms_oma , 0.0 , 13.0
w_ssmi_rms_oma , 0.0 , 14.0
u_amv_rms_oma , 0.0 , 17.0
v_amv_rms_oma , 0.0 , 16.0
sst_sea_rms_oma ,1.e+15, 1.e+15
tv_sea_rms_oma , 0.0 , 9.0
ps_sea_rms_oma , 0.0 , 6.0
u_sea_rms_oma , 0.0 , 11.0
v_sea_rms_oma , 0.0 , 11.0
qv_sea_rms_oma , 0.0 , 15.0
ps_land_rms_oma , 0.0 , 6.0
ps_paob_rms_oma , 0.0 , 8.0
tv_drift_rms_oma , 0.0 , 6.0
tv_mls_rms_oma ,1.e+15, 1.e+15
u_drift_rms_oma , 0.0 , 10.0
v_drift_rms_oma , 0.0 , 9.0
ps_drift_rms_oma , 0.0 , 5.0
bang_gps_rms_oma ,1.e+15, 1.e+15
